hex,count_good_aircraft,count_bad_aircraft
8401227ffffffff,4,0
8401233ffffffff,4,0
8401249ffffffff,1,0
840124bffffffff,4,0
840124dffffffff,1,0
8401251ffffffff,4,0
8401259ffffffff,12,0
840125dffffffff,3,0
84012c9ffffffff,2,0
84012cbffffffff,1,0
8401349ffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,4,0
8401355ffffffff,2,0
8401359ffffffff,4,0
840135dffffffff,11,2
840248bffffffff,1,0
8402491ffffffff,2,0
8402493ffffffff,3,0
8402497ffffffff,1,0
840249bffffffff,4,0
840249dffffffff,1,0
84024c3ffffffff,2,0
84024cbffffffff,1,0
84024d1ffffffff,1,0
84024d5ffffffff,7,0
84024d7ffffffff,1,0
84024d9ffffffff,6,0
84024ddffffffff,7,0
8402683ffffffff,5,0
8402691ffffffff,7,0
8402695ffffffff,3,0
8402697ffffffff,8,0
8402699ffffffff,7,0
840269dffffffff,3,0
84026b1ffffffff,3,0
84026b3ffffffff,7,0
84026b5ffffffff,2,0
84026b7ffffffff,2,0
84026b9ffffffff,3,0
84026bbffffffff,7,0
84026d1ffffffff,3,0
84026d3ffffffff,2,0
84026d7ffffffff,3,0
84026dbffffffff,1,0
8403267ffffffff,1,1
8406243ffffffff,1,0
840624bffffffff,1,0
8406251ffffffff,3,0
8406259ffffffff,11,0
840625bffffffff,2,0
840625dffffffff,10,0
8406283ffffffff,4,0
840628bffffffff,1,0
8406291ffffffff,10,0
8406293ffffffff,29,0
8406295ffffffff,1,0
8406297ffffffff,9,0
8406299ffffffff,11,0
840629bffffffff,19,0
840629dffffffff,13,0
84062b9ffffffff,1,0
84062c9ffffffff,1,0
84062cbffffffff,2,0
84062d3ffffffff,7,0
84062d7ffffffff,6,0
84062dbffffffff,2,0
8406601ffffffff,10,0
8406603ffffffff,8,0
8406605ffffffff,22,0
8406607ffffffff,4,0
8406609ffffffff,10,0
840660bffffffff,41,0
840660dffffffff,71,0
8406619ffffffff,1,0
840661dffffffff,5,0
8406621ffffffff,56,0
8406623ffffffff,1,0
8406625ffffffff,6,0
8406627ffffffff,20,0
8406629ffffffff,74,0
840662bffffffff,17,0
840662dffffffff,12,0
8406639ffffffff,6,0
840663dffffffff,9,0
8406641ffffffff,76,0
8406643ffffffff,9,0
8406645ffffffff,13,0
8406647ffffffff,71,0
8406649ffffffff,76,0
840664bffffffff,7,0
840664dffffffff,10,0
8406651ffffffff,41,0
8406655ffffffff,46,0
8406657ffffffff,28,0
8406659ffffffff,41,0
840665bffffffff,2,0
840665dffffffff,13,0
8406661ffffffff,21,0
8406663ffffffff,85,0
8406665ffffffff,30,0
8406667ffffffff,14,0
8406669ffffffff,24,0
840666bffffffff,87,0
840666dffffffff,38,0
8406703ffffffff,10,0
840670bffffffff,1,0
8406715ffffffff,7,0
8406719ffffffff,4,0
840671dffffffff,45,0
8406739ffffffff,1,0
8406741ffffffff,11,0
8406743ffffffff,5,0
8406745ffffffff,7,0
8406747ffffffff,1,0
8406749ffffffff,24,0
840674bffffffff,10,0
840674dffffffff,15,0
8406751ffffffff,44,0
8406753ffffffff,2,0
8406755ffffffff,4,0
8406757ffffffff,54,0
8406759ffffffff,50,0
840675bffffffff,8,0
840675dffffffff,11,0
8406769ffffffff,14,0
840676dffffffff,1,0
8406981ffffffff,1,0
8406983ffffffff,1,0
8406985ffffffff,2,0
8406987ffffffff,2,0
840698bffffffff,1,0
8406995ffffffff,1,0
8406997ffffffff,1,0
840699dffffffff,1,0
84069a3ffffffff,1,0
84069a5ffffffff,5,0
84069a9ffffffff,5,0
84069abffffffff,1,0
84069adffffffff,6,0
84069b1ffffffff,1,0
84069b3ffffffff,2,0
84069b7ffffffff,4,0
84069b9ffffffff,1,0
84069bbffffffff,2,0
84069bdffffffff,1,0
84069e3ffffffff,4,0
84069e7ffffffff,1,0
8406c01ffffffff,5,0
8406c03ffffffff,29,0
8406c05ffffffff,26,0
8406c07ffffffff,1,0
8406c09ffffffff,2,0
8406c0bffffffff,12,0
8406c11ffffffff,2,0
8406c15ffffffff,11,0
8406c17ffffffff,7,0
8406c1dffffffff,16,0
8406c21ffffffff,32,0
8406c23ffffffff,19,0
8406c25ffffffff,17,0
8406c27ffffffff,33,0
8406c29ffffffff,15,0
8406c2bffffffff,32,0
8406c2dffffffff,9,0
8406c31ffffffff,32,0
8406c33ffffffff,5,0
8406c35ffffffff,10,0
8406c37ffffffff,36,0
8406c39ffffffff,32,0
8406c3bffffffff,3,0
8406c3dffffffff,1,0
8406c57ffffffff,2,0
8406c61ffffffff,24,0
8406c63ffffffff,9,0
8406c65ffffffff,31,0
8406c67ffffffff,5,0
8406c69ffffffff,6,0
8406c6bffffffff,1,0
8406c6dffffffff,20,0
8406c81ffffffff,3,0
8406c83ffffffff,37,0
8406c85ffffffff,57,0
8406c87ffffffff,3,0
8406c8bffffffff,5,0
8406c8dffffffff,1,0
8406c91ffffffff,3,0
8406c93ffffffff,12,0
8406c95ffffffff,39,0
8406c99ffffffff,73,0
8406c9bffffffff,77,0
8406c9dffffffff,21,0
8406ca1ffffffff,17,0
8406ca3ffffffff,49,0
8406ca5ffffffff,17,0
8406ca7ffffffff,20,0
8406ca9ffffffff,7,0
8406cabffffffff,57,0
8406cadffffffff,17,0
8406cb1ffffffff,37,0
8406cb3ffffffff,8,0
8406cb5ffffffff,12,0
8406cb7ffffffff,24,0
8406cb9ffffffff,40,0
8406cbbffffffff,27,0
8406cbdffffffff,2,0
8406cd3ffffffff,44,0
8406cd7ffffffff,6,0
8406ce1ffffffff,26,0
8406ce3ffffffff,3,0
8406ce5ffffffff,28,0
8406ce7ffffffff,17,0
8406ce9ffffffff,7,0
8406cedffffffff,15,0
